song,scene,duration,confidence,loudness,tempo,tempo_confidence,key,key_confidence,mode,mode_confidence,time_signature,time_signature_confidence,name,type,active_lights,colors,avg_brightness,avg_strobe,uses_mfft,uses_time,uses_bool,active_light_types,dominant_color
goosebumps,party,17.98577,0.57,-1.76,130.089,0.724,4,0.177,0,0.259,5,0.667,party,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']","{'purple': 2, 'pink': 4, 'blue': 1, 'green': 1}",28.333333333333332,85.0,True,True,True,"{'rgb': 8, 'dimmer': 4, 'strobe': 1}",pink
goosebumps,party,13.05174,0.806,-3.427,129.975,0.889,4,0.004,0,0.126,4,1.0,party,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']","{'purple': 2, 'pink': 4, 'blue': 1, 'green': 1}",28.333333333333332,85.0,True,True,True,"{'rgb': 8, 'dimmer': 4, 'strobe': 1}",pink
DNA (Loving You) [feat. Hannah Boleyn] [Levity Remix],ambient1,30.21914,1.0,-8.31,155.079,0.217,2,0.446,1,0.629,3,0.383,ambient1,ambient,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']","{'blue': 4, 'purple': 4}",,0.0,False,True,False,"{'rgb': 8, 'dimmer': 2}",blue
DNA (Loving You) [feat. Hannah Boleyn] [Levity Remix],build1,23.99152,0.696,-7.081,155.179,0.274,11,0.554,0,0.526,4,0.912,build1,build,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']","{'blue': 4, 'purple': 4}",127.5,0.0,True,True,False,"{'rgb': 8, 'dimmer': 2}",blue
DNA (Loving You) [feat. Hannah Boleyn] [Levity Remix],electric,22.05592,0.854,-2.153,155.122,0.458,7,0.618,1,0.592,4,1.0,electric,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'rgb1', 'rgb6']",{'white': 8},,,False,False,True,"{'rgb': 8, 'strobe': 1}",white
DNA (Loving You) [feat. Hannah Boleyn] [Levity Remix],chill_pink,26.33672,0.638,-5.245,154.903,0.456,11,0.397,0,0.53,4,1.0,chill_pink,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6']",{'pink': 8},55.0,0.0,True,False,False,{'rgb': 8},pink
DNA (Loving You) [feat. Hannah Boleyn] [Levity Remix],blue_riser,23.18368,0.67,-6.946,155.242,0.321,11,0.465,0,0.431,4,1.0,blue_riser,build,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6']",{'blue': 8},,255.0,False,True,False,{'rgb': 8},blue
DNA (Loving You) [feat. Hannah Boleyn] [Levity Remix],electric,25.19095,0.79,-2.367,154.953,0.44,2,0.0,1,0.136,4,1.0,electric,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'rgb1', 'rgb6']",{'white': 8},,,False,False,True,"{'rgb': 8, 'strobe': 1}",white
DNA (Loving You) [feat. Hannah Boleyn] [Levity Remix],chill_pink,13.14622,0.858,-8.596,155.222,0.424,2,0.428,1,0.656,4,1.0,chill_pink,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6']",{'pink': 8},55.0,0.0,True,False,False,{'rgb': 8},pink
DNA (Loving You) [feat. Hannah Boleyn] [Levity Remix],build4,12.392,0.511,-11.097,155.082,0.523,2,0.703,1,0.805,4,1.0,build4,build,"['orb', 'ropes']",{},,,False,True,False,{'dimmer': 2},
TAKA - Taiki Nulight Remix,flicker,6.88233,1.0,-9.571,140.083,0.898,2,0.0,0,0.0,4,1.0,flicker,effect,"['orb', 'ropes']",{},,,False,False,True,{'dimmer': 2},
TAKA - Taiki Nulight Remix,flicker,20.99409,0.529,-8.946,139.998,0.738,2,0.0,1,0.0,4,1.0,flicker,effect,"['orb', 'ropes']",{},,,False,False,True,{'dimmer': 2},
TAKA - Taiki Nulight Remix,ambient3,11.61566,0.64,-9.706,139.94,0.461,9,0.057,1,0.282,4,1.0,ambient3,ambient,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']","{'green': 4, 'orange': 4}",,0.0,False,True,True,"{'rgb': 8, 'dimmer': 2}",green
TAKA - Taiki Nulight Remix,red_bass_pulse,26.9821,0.787,-8.619,140.386,0.673,8,0.032,1,0.343,4,1.0,red_bass_pulse,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']",{'red': 8},85.0,255.0,True,False,True,"{'rgb': 8, 'strobe': 1, 'dimmer': 4}",red
